epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3560.09,0.6598,0.40689,0.95386,0.87636,0.86287,0.91674,0.70039,0.90635,0.6161,1.16203,0.0008516,0.0008516,0.0008516
60,3616.57,0.64809,0.39826,0.95124,0.87432,0.85661,0.91161,0.69865,0.93021,0.61621,1.16707,0.0008318,0.0008318,0.0008318
61,3672.87,0.64555,0.39873,0.94892,0.88682,0.84786,0.92132,0.7095,0.92132,0.60295,1.14771,0.000812,0.000812,0.000812
62,3729.47,0.64979,0.39999,0.95106,0.85551,0.88374,0.91887,0.70367,0.91806,0.62146,1.15262,0.0007922,0.0007922,0.0007922
63,3791.69,0.66037,0.40164,0.95857,0.86949,0.87626,0.91607,0.70135,0.90783,0.61417,1.16474,0.0007724,0.0007724,0.0007724
64,3857.46,0.63513,0.38978,0.94779,0.87796,0.86194,0.91625,0.70581,0.9256,0.62409,1.16438,0.0007526,0.0007526,0.0007526
65,3920.68,0.62568,0.38551,0.94233,0.86074,0.87687,0.91662,0.71189,0.90861,0.62376,1.15394,0.0007328,0.0007328,0.0007328
66,3980.14,0.62563,0.38562,0.94474,0.86057,0.85168,0.9103,0.7054,0.90861,0.68977,1.1347,0.000713,0.000713,0.000713
67,4038.87,0.62258,0.38337,0.94365,0.87865,0.85541,0.9185,0.69985,0.94116,0.61564,1.1634,0.0006932,0.0006932,0.0006932
68,4096.04,0.62355,0.38402,0.94311,0.88303,0.84509,0.91551,0.70538,0.91721,0.63767,1.17631,0.0006734,0.0006734,0.0006734
69,4152.77,0.61385,0.37479,0.94042,0.85235,0.87687,0.90506,0.69556,0.91983,0.66286,1.16437,0.0006536,0.0006536,0.0006536
70,4209.48,0.61368,0.37166,0.93984,0.87446,0.85121,0.9109,0.70228,0.90538,0.65733,1.15954,0.0006338,0.0006338,0.0006338
71,4266.09,0.60689,0.3713,0.9351,0.88001,0.84981,0.91457,0.69861,0.90321,0.64815,1.1251,0.000614,0.000614,0.000614
72,4322.62,0.60251,0.36735,0.93305,0.85249,0.86194,0.91084,0.70483,0.8963,0.63458,1.14405,0.0005942,0.0005942,0.0005942
73,4379.09,0.59541,0.36181,0.92853,0.86358,0.86218,0.91262,0.70673,0.90085,0.61415,1.14406,0.0005744,0.0005744,0.0005744
74,4437.14,0.59105,0.35967,0.93098,0.88037,0.85541,0.90882,0.7017,0.89018,0.61426,1.12207,0.0005546,0.0005546,0.0005546
75,4494.92,0.58632,0.35556,0.92664,0.88093,0.84422,0.91078,0.69493,0.92458,0.65315,1.14213,0.0005348,0.0005348,0.0005348
76,4551.7,0.58123,0.35333,0.93052,0.87469,0.86194,0.90288,0.68838,0.91064,0.6389,1.13824,0.000515,0.000515,0.000515
77,4609.17,0.59345,0.36233,0.93051,0.85605,0.87687,0.90587,0.69861,0.8957,0.61957,1.13487,0.0004952,0.0004952,0.0004952
78,4665.84,0.57642,0.35275,0.92892,0.88214,0.84478,0.8977,0.68689,0.89966,0.62515,1.153,0.0004754,0.0004754,0.0004754
79,4724.97,0.57088,0.351,0.92444,0.88847,0.8397,0.90115,0.69615,0.89589,0.64573,1.13887,0.0004556,0.0004556,0.0004556
